"0"|"0"|"0"|"0"|"NULL"|"ERROR NOT FOUND"|"0"|"1"|"2018-09-13 23:49:14"|"Admin"|"NULL"|"NULL"|"1"
"1"|"105-13-5"|"105135"|"105135"|"NULL"|"ANISE ALCOHOL"|"0"|"1"|"2005-11-01 10:12:45"|"Admin"|"NULL"|"NULL"|"1"
"2"|"84961-62-6"|"84961626"|"84961626"|"NULL"|"TAMARINDUS INDICA EXTRACT"|"0"|"1"|"2005-11-01 10:13:47"|"Admin"|"NULL"|"NULL"|"1"
"3"|"85085-48-9"|"85085489"|"85085489"|"NULL"|"MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF"|"0"|"1"|"2005-11-01 10:16:24"|"Admin"|"NULL"|"NULL"|"1"
"4"|"90387-74-9"|"90387749"|"90387749"|"NULL"|"SODIUM COCOYL GLYCINATE"|"0"|"1"|"2005-11-01 15:41:50"|"Admin"|"NULL"|"NULL"|"1"
"5"|"977057-67-2"|"977057672"|"977057672"|"NULL"|"POLOXAMER 124"|"0"|"1"|"2005-11-01 15:42:46"|"Admin"|"NULL"|"NULL"|"1"
"6"|"999001-29-8"|"999001298"|"999001298"|"NULL"|"VOANDZEIA SUBTERRANEA SEED EXTRACT"|"0"|"1"|"2005-11-02 10:19:56"|"Admin"|"NULL"|"NULL"|"1"
"7"|"999001-29-9"|"999001299"|"999001299"|"NULL"|"RED 40 LAKE (LABEL ABBREVIATION)"|"0"|"1"|"2005-11-02 10:26:58"|"Admin"|"NULL"|"NULL"|"1"
"8"|"999001-30-0"|"999001300"|"999001300"|"NULL"|"YELLOW 10 LAKE (LABEL ABBREVIATION)"|"0"|"1"|"2005-11-02 10:27:33"|"Admin"|"NULL"|"NULL"|"1"
"9"|"999001-30-1"|"999001301"|"999001301"|"NULL"|"RED 33 LAKE (LABEL ABBREVIATION)"|"0"|"1"|"2005-11-02 10:27:57"|"Admin"|"NULL"|"NULL"|"1"
"10"|"999001-30-2"|"999001302"|"999001302"|"NULL"|"OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES"|"0"|"1"|"2005-11-02 10:28:31"|"Admin"|"NULL"|"NULL"|"1"
"11"|"999001-30-3"|"999001303"|"999001303"|"NULL"|"TEA-CARBOMER"|"0"|"1"|"2005-11-02 10:29:36"|"Admin"|"NULL"|"NULL"|"1"
"12"|"999001-30-4"|"999001304"|"999001304"|"NULL"|"CALIFORNIA NUTMEG (TORREYA CALIFORNICA) OIL"|"0"|"1"|"2005-11-02 11:11:03"|"Admin"|"NULL"|"NULL"|"1"
"13"|"999001-30-5"|"999001305"|"999001305"|"NULL"|"COCOS NUCIFERA (COCONUT) SHELL POWDER"|"0"|"1"|"2005-11-02 11:11:29"|"Admin"|"NULL"|"NULL"|"1"
"14"|"999001-30-6"|"999001306"|"999001306"|"NULL"|"CYMBOPOGON SCHOENANTHUS (CAMEL GRASS) OIL"|"0"|"1"|"2005-11-02 11:11:59"|"Admin"|"NULL"|"NULL"|"1"
"15"|"999001-30-7"|"999001307"|"999001307"|"NULL"|"CITRUS HYSTRIX (KAFFIR LIME) LEAF OIL"|"0"|"1"|"2005-11-02 11:12:36"|"Admin"|"NULL"|"NULL"|"1"
"16"|"38193-60-1"|"38193601"|"38193601"|"NULL"|"ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER"|"0"|"1"|"2005-11-02 14:19:12"|"Admin"|"NULL"|"NULL"|"1"
"17"|"9009-65-8"|"9009658"|"9009658"|"NULL"|"PROTAMINE SULFATE"|"0"|"1"|"2005-11-03 15:10:32"|"Admin"|"NULL"|"NULL"|"1"
"18"|"999001-30-8"|"999001308"|"999001308"|"NULL"|"MACROCYSTIS PYRIFERA (KELP) EXTRACT"|"0"|"1"|"2005-11-09 09:24:57"|"Admin"|"NULL"|"NULL"|"1"
"19"|"977002-81-5"|"977002815"|"977002815"|"NULL"|"TAPIOCA STARCH"|"0"|"1"|"2005-11-09 09:27:16"|"Admin"|"NULL"|"NULL"|"1"
"20"|"999001-30-9"|"999001309"|"999001309"|"NULL"|"PPG-2 HYDROXYETHYL COCO/ISOSTEARAMIDE"|"0"|"1"|"2005-11-14 10:52:37"|"Admin"|"NULL"|"NULL"|"1"
"21"|"999001-31-0"|"999001310"|"999001310"|"NULL"|"COCONUT OIL METHYLPROPANEDIOL ESTERS"|"0"|"1"|"2005-11-15 14:07:53"|"Admin"|"NULL"|"NULL"|"1"
"22"|"999001-31-1"|"999001311"|"999001311"|"NULL"|"HEXYLDECYL LAURATE"|"0"|"1"|"2005-11-15 14:08:26"|"Admin"|"NULL"|"NULL"|"1"
"23"|"999001-31-2"|"999001312"|"999001312"|"NULL"|"PALMITOYL GRAPE SEED EXTRACT"|"0"|"1"|"2005-11-15 14:08:56"|"Admin"|"NULL"|"NULL"|"1"
"24"|"999001-31-3"|"999001313"|"999001313"|"NULL"|"COLEUS FORSKOHLII ROOT EXTRACT"|"0"|"1"|"2005-11-15 14:09:33"|"Admin"|"NULL"|"NULL"|"1"
"25"|"999001-31-4"|"999001314"|"999001314"|"NULL"|"OPUNTIA TUNA FRUIT EXTRACT"|"0"|"1"|"2005-11-15 14:10:02"|"Admin"|"NULL"|"NULL"|"1"
"26"|"999001-31-5"|"999001315"|"999001315"|"NULL"|"PEG-10 RAPESEED STEROL"|"0"|"1"|"2005-11-15 14:10:27"|"Admin"|"NULL"|"NULL"|"1"
"27"|"999001-31-6"|"999001316"|"999001316"|"NULL"|"SIMMONDSIA CHINENSIS (JOJOBA) BUTTER"|"0"|"1"|"2005-11-15 14:13:32"|"Admin"|"NULL"|"NULL"|"1"
"28"|"999001-31-7"|"999001317"|"999001317"|"NULL"|"ACRYLONITRILE/METHACRYLONITRILE/METHYL METHACRYLATE COPOLYMER"|"0"|"1"|"2005-11-15 14:14:08"|"Admin"|"NULL"|"NULL"|"1"
"29"|"999001-31-8"|"999001318"|"999001318"|"NULL"|"DIMETHICONE BISAMINO HYDROXYPROPYL COPOLYOL"|"0"|"1"|"2005-11-16 09:38:58"|"Admin"|"NULL"|"NULL"|"1"
"30"|"4248-53-2"|"4248532"|"4248532"|"NULL"|"CL 14700 (FD&C RED NO.4)"|"1"|"1"|"2005-11-17 08:28:42"|"Admin"|"NULL"|"NULL"|"1"
"31"|"8027-36-9"|"8027369"|"8027369"|"NULL"|"CEDRUS ATLANTICA (ATLANTIC CEDARWOOD) BARK OIL"|"1"|"1"|"2005-11-17 09:03:27"|"Admin"|"NULL"|"NULL"|"1"
"32"|"999001-31-9"|"999001319"|"999001319"|"NULL"|"CINNAMIDOPROPYLTRIMONIUM CHLORIDE"|"0"|"1"|"2005-11-18 08:35:05"|"Admin"|"NULL"|"NULL"|"1"
"33"|"128497-20-1"|"128497201"|"128497201"|"NULL"|"MACADAMIA TERNIFOLIA (MACADAMIA) SEED OIL"|"0"|"1"|"2005-11-22 13:38:51"|"Admin"|"NULL"|"NULL"|"1"
"34"|"977067-56-9"|"977067569"|"977067569"|"NULL"|"SORBITAN SESQUIISOSTERATE"|"0"|"1"|"2005-11-22 14:05:58"|"Admin"|"NULL"|"NULL"|"1"
"35"|"1342-91-2"|"1342912"|"1342912"|"NULL"|"RED 30 LAKE (LABEL ABBREVIATION)"|"0"|"1"|"2005-11-22 15:36:32"|"Admin"|"NULL"|"NULL"|"1"
"36"|"999001-32-0"|"999001320"|"999001320"|"NULL"|"PEG-8 DIMETHICONE"|"0"|"1"|"2005-11-28 08:41:22"|"Admin"|"NULL"|"NULL"|"1"
"37"|"26952-14-7"|"26952147"|"26952147"|"NULL"|"HEXADECENE"|"0"|"1"|"2005-11-28 11:01:13"|"Admin"|"NULL"|"NULL"|"1"
"38"|"999001-32-1"|"999001321"|"999001321"|"NULL"|"PEG-20 GLYCERYL TRIISOSTEARATE"|"0"|"1"|"2005-11-28 11:03:03"|"Admin"|"NULL"|"NULL"|"1"
"39"|"999001-32-2"|"999001322"|"999001322"|"NULL"|"CASTOR OIL BENZOATE"|"0"|"1"|"2005-11-28 11:03:51"|"Admin"|"NULL"|"NULL"|"1"
"40"|"999001-32-3"|"999001323"|"999001323"|"NULL"|"HYDROLYZED RICE BRAN EXTRACT"|"0"|"1"|"2005-11-28 11:04:44"|"Admin"|"NULL"|"NULL"|"1"
